Request_ID,Request_Guest,Text_Type,Text_Script,Text_Answer_1,Text_Next_1,Text_Answer_2,Text_Next_2,Success,Fail,Request_Stuff_1,Request_Stuff_2
242,44,3,아… 마음이 바뀌신다면 그 때 다시오겠습니다.,,,,,-1,-1,,
243,44,4,정말 아름다운 보석이군요! 공주님께서도 마음에 들어하실 겁니다.,,,,,-1,-1,,
244,44,5,이것도 괜찮지만 제가 원한건 이게 아닙니다!,,,,,-1,-1,,
245,45,1,"여기가 마왕의 전속 세공사의 가게가 여기 맞습니까?
폐업했었는데 다시 오픈했다고 해서 와봤습니다.",,,,,-1,-1,,
246,45,2,아…가업을 잇는거라구요? 다이아몬드 팔찌를 요청하려는데 괜찮습니까?,,,,,248,249,,
247,45,3,그렇군요. 명성이 자자해질 때쯤에 찾아오겠습니다.,,,,,-1,-1,,
248,45,4,나쁘지 않군요. 잘 쓰겠습니다.,,,,,-1,-1,,
249,45,5,제가 다이아몬드 목걸이라고 말씀드리지 않았습니까?,,,,,-1,-1,,
250,46,1,이번에 유포리아 마왕국에서 진행하는 축제에서 진행하는 행사에 심사위원자격으로 참가하게 되었습니다.,,,,,-1,-1,,
251,46,2,한껏 꾸미고 싶은데 그에 필요한 장신구가 있으면 합니다. 다이아몬드 귀걸이 부탁드려도 되겠습니까?,,,,,253,254,,
252,46,3,혹시 돈이 부족하시다면 얼마든지… 네 알겠습니다. 다음에 오도록 하죠.,,,,,-1,-1,,
253,46,4,"투명하게 비추는 빛이 마치 무지개를 보는듯하군요, 정말 마음에 듭니다.",,,,,-1,-1,,
254,46,5,"제가 부탁한 물건이 아닌데. 돈까지 받으시려구요?
다음에 또 올테니 그냥 가져가겠습니다.",,,,,-1,-1,,
255,47,1,안녕하십니까. 유포리아 마왕국소속 백작가에서 왔습니다.,,,,,-1,-1,,
256,47,1,저희 어머니의 생신을 맞이하여 연회에 사용하실 새로운 핀을 장만하려고 합니다.,,,,,-1,-1,,
257,47,2,다이아몬드 핀으로 부탁드립니다.,,,,,259,260,,
258,47,3,재고가 없는 모양이군요. 다음에 또오겠습니다.,,,,,-1,-1,,
259,47,4,어머니께서 분명 마음에 들어하실 겁니다.,,,,,-1,-1,,
260,47,5,제가 다른 물건을 말씀드렸었던가요?,,,,,-1,-1,,
261,48,1,안녕하십니까. 여기가 그 소문의 세공점 맞습니까?,,,,,-1,-1,,
262,48,1,"저는 유포리아 인간왕국의 왕자입니다. 
세공사님께 사적으로 볼일이 있어 편한 복장으로 찾아뵌점 사과드립니다.",,,,,-1,-1,,
263,48,1,저의 저번 생일연회 때 알게 된 아리따운 아가씨께 드릴 선물을 부탁드리려고 왔습니다.,,,,,-1,-1,,
264,48,2,그 아가씨는 유리구두가 유독 잘 어울렸습니다. 아마 다이아몬드 브로치가 어울리겠군요.,,,,,266,267,,
265,48,3,수락을 해주실 때까지 기다리고 있겠습니다.,,,,,-1,-1,,
266,48,4,투명하도록 파란 드레스에 잘 어울리는 브로치군요. 정말 감사합니다!,,,,,-1,-1,,
267,48,5,이렇게 먼길까지 직접 왔는데 정말 서운하게 하실겁니까?,,,,,-1,-1,,
268,49,1,아 가게가 여기있었군요. 안녕하십니까! 이번에 베일씨와 함께 일하게 된 신입광부입니다.,,,,,-1,-1,,
269,49,1,베일씨께서 신입은 무조건 안전장비를 동반하라는 말씀으로 장신구 하나를 필히 구매하라고 하셨습니다.,,,,,-1,-1,,
270,49,2,오팔 반지 하나 장만하려 합니다.,,,,,272,273,,
271,49,3,아쉽네요. 다음에 또 오겠습니다.,,,,,-1,-1,,
272,49,4,감사합니다! 역시 마왕님께서 점찍으신 이유가 다 있군요!,,,,,-1,-1,,
273,49,5,어…베일씨께서 말씀해주신것과 다른데…?,,,,,-1,-1,,
274,50,1,안녕하세요! 가게가 화려하네요!,,,,,-1,-1,,
275,50,1,"저는 나이가 많으신 할머니가 있어요. 최근까지 건강하셨지만 몇일 전 허리를 다치신 이후로
몸이 많이 약해지셨어요.",,,,,-1,-1,,
276,50,2,그런 할머니를 위해서 건강하라는 의미의 오팔 목걸이를 선물 해드리려 하는데 가능할까요?,,,,,278,279,,
277,50,3,나중에 또 찾아뵐게요.,,,,,-1,-1,,
278,50,4,감사합니다! 확실히 세공사님이 만드셔서 그런지 좋은 기운이 가득하네요!,,,,,-1,-1,,
279,50,5,어… 저희 할머니는 이렇게 화려한건 별로…,,,,,-1,-1,,
280,51,1,안녕하시오. 소인은 험난한 산맥에서 수련을 하다 이번에 하산하여 모험을 떠나게 된 무투가라 하오.,,,,,-1,-1,,
281,51,2,나를 지키기 위한 안전한 모험을 위해 오팔 팔찌를 부탁하는 바 찾아왔소.,,,,,283,284,,
282,51,3,아쉽구려. 다음에 또 오도록 하겠소.,,,,,-1,-1,,
283,51,4,"음! 정말 단단하고 강한 기운을 지녔군, 고맙소.",,,,,-1,-1,,
284,51,5,무투가에게는 정말 어울리지 않는 장신구인데 나에게 주는 의미가 무엇이오?,,,,,-1,-1,,
285,52,1,반갑구나 필멸자. 그대가 마법의 힘이 담긴 보석 장신구를 만드는 자인가?,,,,,-1,-1,,
286,52,1,난. 바위 드래곤 올리비아다. 비록 필멸자의 모습을 한데에는 이유가 있지만 그건 차치하도록 하지.,,,,,-1,-1,,
287,52,2,오팔 귀걸이 하나 부탁하지. 이래뵈도 미용에는 무심한 바위 동족들에 비해 미용에 관심 있어서 말이지.,,,,,289,290,,
288,52,3,"음 사정이 있나보구나, 다음에 들리도록 하겠다.",,,,,-1,-1,,
289,52,4,실력이 대단하구나. 자주 들리도록 하지.,,,,,-1,-1,,
290,52,5,바위에 깔리고 싶은게냐?,,,,,-1,-1,,
291,53,1,안녕하십니까! 여기가 보석세공사님의 가게 맞습니까!,,,,,-1,-1,,
292,53,1,저는 무투가라고 합니다! 무투가는 타격기를 주로 사용하기로 소문이 나있죠.,,,,,-1,-1,,
293,53,1,그래서 무기를 차고 다니기에는 부적합하기에 호신용으로 쓸만한 물건이 생각나서 찾아왔습니다.,,,,,-1,-1,,
294,53,2,오팔로 만든 핀을 부탁드립니다! 오팔이 깃든 장신구는 단단하기로 소문나 있잖습니까,,,,,296,297,,
295,53,3,어쩔 수 없지만 내일 다시 오도록 하겠습니다.,,,,,-1,-1,,
296,53,4,왠만한 무기보다 단단해보이는군요! 감사합니다!,,,,,-1,-1,,
297,53,5,이걸 어떻게 호신용으로 쓰라는거죠?,,,,,-1,-1,,
298,54,1,반갑습니다. 여기가 마왕님 전속세공사님의 가게 맞습니까?,,,,,-1,-1,,
299,54,1,"다시 한번 인사드립니다. 저는 유포리아 마왕국 소속 군인입니다. 
자세한 소속은 보안상 말씀드릴 수 없기에 서론은 여기까지만 하겠습니다.
",,,,,-1,-1,,
300,54,1,"이번에 유포리아 마왕국에서 군행사를 진행하게 되었습니다만
이번에 진급과 함께 새로운 브로치를 장만하고 싶어 찾아왔습니다.",,,,,-1,-1,,
301,54,2,오팔 브로치로 부탁드립니다. 디자인은 세공사님 재량으로 부탁드립니다!,,,,,303,304,,
302,54,3,이런… 저명하신 세공사님의 작품을 써보고 싶었는데 아쉽군요.,,,,,-1,-1,,
303,54,4,감사합니다! 벌써부터 착용한 모습이 상상되니 무척이나 기쁩니다!,,,,,-1,-1,,
304,54,5,혹시 제가 가게를 잘못 찾아왔습니까?,,,,,-1,-1,,
305,55,1,반갑소… 세공사…,,,,,-1,-1,,
306,55,2,소울라이트 광석도 다루오…? 가능하면 반지를 장만하고 싶은데…,,,,,308,309,,
307,55,3,후회할 것이오…,,,,,-1,-1,,
308,55,4,영혼의 가호가 함께하길…,,,,,-1,-1,,
309,55,5,형편없군….밤길 조심하시오…,,,,,-1,-1,,
310,56,1,안녕하세요. 세공사님!,,,,,-1,-1,,
311,56,1,얼마 전에 무지개 다리를 건넌 제 반려견 뽀삐를 기리고 싶어서요.,,,,,-1,-1,,
312,56,1,정말 사랑하고 아꼈던 저희 뽀삐를 잊을 수가 없어서 기념하고자 찾아왔습니다.,,,,,-1,-1,,
313,56,2,소울라이트로 만든 목걸이를 부탁드려도 될까요?,,,,,315,316,,
314,56,3,쳇…,,,,,-1,-1,,
315,56,4,헤헤… 뽀삐야… 영원히 함께야…,,,,,-1,-1,,
316,56,5,그냥 죽어버렸으면 좋겠네요.,,,,,-1,-1,,
317,57,1,안녕하세요. 여기 세공사님은 소울라이트도 만들어주십니까?,,,,,-1,-1,,
318,57,1,제가 얼마 전에 아주 강력한 마물을 봉인하게 되었는데 그것을 가둘 강력한 장신구가 필요해서요.,,,,,-1,-1,,
319,57,1,지금은 제가 들고 있는 항아리 단지에 갖혀 있지만 이것도 조금 미흡한 지라 확실한 장비가 필요합니다.,,,,,-1,-1,,
320,57,2,소울라이트 목걸이라면 간단하게 봉인할 수 있을텐데 말이죠. 가능하신가요?,,,,,322,323,,
321,57,3,으윽… 봉인이 곧 풀릴지도 모르는데 불안하네…,,,,,-1,-1,,
322,57,4,감사합니다! 피해 안끼치게 먼곳에서 봉인하도록 할게요!,,,,,-1,-1,,
323,57,5,이런 곳에 가두었다간 마을이 쑥대밭이 될 것 같은데요?,,,,,-1,-1,,
324,58,1,안녕하시와요. 마왕전속세공사님,,,,,-1,-1,,
325,58,1,"저는 강령술사이자 퇴마사일을 하고 있는 사람입니다.
네 맞습니다. 소울라이트 보석이 깃든 장신구를 구하려 왔습니다.",,,,,-1,-1,,
326,58,1,"세간에는 강령술사에게 강력한 힘을 주는 소울라이트를 판매하지말라고 법으로 지정되어 있지만
저는 의로운 일을 하는 사람으로써 가끔은 위법 행위를 해도 괜찮다고 생각하는 사람입니다.",,,,,-1,-1,,
327,58,2,그래서 말인데 소울라이트로 만든 귀걸이를 부탁드려도 될까와요?,,,,,329,330,,
328,58,3,아쉽지만 어쩔 수 없군요… 다른 가게를 알아보도록 하겠습니다.,,,,,-1,-1,,
329,58,4,(불길한 미소를 지으며) 좋은 일에 쓰도록 하겠습니다.,,,,,-1,-1,,
330,58,5,쳇… 역시 알아챘나?,,,,,-1,-1,,
331,59,1,아…안녕하세요… 세..세공사님 맞으신…가요…?,,,,,-1,-1,,
332,59,1,제..제가 정말 정말 정말 사랑하는 사람이 있는데… 도…도무지 바라봐 주지 않아서요…,,,,,-1,-1,,
333,59,1,그…그 사람에게 고백할 용기를 줄 부적같은 장신구가 필요해요…,,,,,-1,-1,,
334,59,2,소…소울라이트 핀 하나 부탁드려도 될까요…?,,,,,336,337,,
335,59,3,내 마음은…. 진심인데!,,,,,-1,-1,,
336,59,4,이제... 영원히 함께하자.,,,,,-1,-1,,
337,59,5,지금 장난해?! 돌팔이 아냐! 다시 오나봐라.,,,,,-1,-1,,
338,60,1,"안녕하신지요. 세공사님…
어라? 이전과 달리 젊어지셨군요.",,,,,-1,-1,,
339,60,1,아… 손자분께서 승계를 하셨군요…전 세공사님의 조부님과 오래 지낸 사이랍니다.,,,,,-1,-1,,
340,60,2,이번에도 제 제자를 위한 소울라이트 브로치를 부탁드리려고 찾아왔습니다.,,,,,342,343,,
341,60,3,아직 조부님의 실력에 못미치시는 것 같군요.,,,,,-1,-1,,
342,60,4,역시 조부님의 손자다운 실력입니다.,,,,,-1,-1,,
343,60,5,… 혹시 기념품으로 주신건가요?,,,,,-1,-1,,
